Unnamed: 0,ORG Name,ORG Link,Size,Sector,Country,Region,Report,download
162,Ceramic Industries,https://database.globalreporting.org/organizations/4784/,Large,Construction Materials,za,Africa,"['2012 - Non - GRI Non - GRI472fddcfec9267f4fc06c96d9ba424a6.pdf', '2011 - Non - GRI Non - GRId13102a9c6da367b34096e32f70a6963.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2012/472fddcfec9267f4fc06c96d9ba424a6.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2011/d13102a9c6da367b34096e32f70a6963.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
163,Chamber of Mines South Africa,https://database.globalreporting.org/organizations/852/,Large,Mining,za,Africa,['2007 - GRI - G2 GRI - G2aba812571bda302c94ae0d565446445d.pdf'],['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2007/aba812571bda302c94ae0d565446445d.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']
164,Chemical Specialties,https://database.globalreporting.org/organizations/5496/,Large,Chemicals,za,Africa,"['2014 - Citing - GRI Citing - GRI2432d503f21fb42f41c6a148f37ca5c8.pdf', '2013 - Citing - GRI Citing - GRI95be463bcdb5c0884c7f456600188e0c.pdf', '2012 - Citing - GRI Citing - GRI54e34235c9714b5670e61e4427861e5d.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2014/2432d503f21fb42f41c6a148f37ca5c8.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2013/95be463bcdb5c0884c7f456600188e0c.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2012/54e34235c9714b5670e61e4427861e5d.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
165,CHENI FARM LIMITED,https://database.globalreporting.org/organizations/22142/,SME,Agriculture,ke,Africa,[],[]
166,Chobe Holdings Limited,https://database.globalreporting.org/organizations/15265/,SME,Tourism/Leisure,bw,Africa,"['2018 - Non - GRI Non - GRI679018fe4568efbc29f3bfe55a649d44.pdf', '2017 - Non - GRI Non - GRI72855d2c47ea76528d19e4c62e0666fe.pdf', '2016 - Non - GRI Non - GRI72a51dbe9ac59613316fa9390003a1e6.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2018/679018fe4568efbc29f3bfe55a649d44.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/72855d2c47ea76528d19e4c62e0666fe.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/72a51dbe9ac59613316fa9390003a1e6.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
167,Choppies,https://database.globalreporting.org/organizations/15266/,Large,Retailers,bw,Africa,"['2017 - Citing - GRI Citing - GRI8cdb6a26fbed40a54119d6ad9dd69a32.pdf', '2016 - Citing - GRI Citing - GRId5fbf623aad209b1564c86a919a71de2.pdf', '2015 - Citing - GRI Citing - GRIfea8d4402ee2b61bb8da087fe3e459ae.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/8cdb6a26fbed40a54119d6ad9dd69a32.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/d5fbf623aad209b1564c86a919a71de2.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2015/fea8d4402ee2b61bb8da087fe3e459ae.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
168,Chrometco,https://database.globalreporting.org/organizations/4621/,Large,Mining,za,Africa,"['2019 - Non - GRI Non - GRI38166d35a4ccb47110ecd88faad00249.pdf', '2018 - Non - GRI Non - GRIc2ad448137fd7036075046be7c6e37da.pdf', '2017 - Non - GRI Non - GRIed862b0214f97243919572866bda2fe0.pdf', '2016 - Non - GRI Non - GRIdde01cfbeb4762ce02293ec4cda836c2.pdf', '2015 - Non - GRI Non - GRI8d16ba654dda5a3475d2b5cbd8408fbe.pdf', '2014 - Non - GRI Non - GRI63aa39eb32afd225d966f79629288c71.pdf', '2013 - Non - GRI Non - GRI005ed0763e84aee74f4249febf072d49.pdf', '2012 - Non - GRI Non - GRI4519fdd308001ee85315bc5528a9496f.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2019/38166d35a4ccb47110ecd88faad00249.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2018/c2ad448137fd7036075046be7c6e37da.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/ed862b0214f97243919572866bda2fe0.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/dde01cfbeb4762ce02293ec4cda836c2.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2015/8d16ba654dda5a3475d2b5cbd8408fbe.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2014/63aa39eb32afd225d966f79629288c71.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2013/005ed0763e84aee74f4249febf072d49.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2012/4519fdd308001ee85315bc5528a9496f.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
169,CIC Insurance Group Ltd,https://database.globalreporting.org/organizations/16861/,Large,Financial Services,ke,Africa,"['2017 - Non - GRI Non - GRI5a33285289cd7e3e6f5812ec7a426da3.pdf', '2016 - Non - GRI Non - GRI3ef1b4d8aabdd8878659d0b1c7e4176e.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/5a33285289cd7e3e6f5812ec7a426da3.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/3ef1b4d8aabdd8878659d0b1c7e4176e.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
170,CIEL Ltd,https://database.globalreporting.org/organizations/16933/,Large,Financial Services,mu,Africa,"['2018 - Non - GRI Non - GRI703c7b52eee7b97a0087b07ab647a325.pdf', '2017 - Non - GRI Non - GRI2e517850428269ef3a67ad17ceaf9a98.pdf', '2016 - Non - GRI Non - GRI367b3328ffde6efddba65e83350f8fb9.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2018/703c7b52eee7b97a0087b07ab647a325.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/2e517850428269ef3a67ad17ceaf9a98.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/367b3328ffde6efddba65e83350f8fb9.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
171,CIM Financial Services Ltd,https://database.globalreporting.org/organizations/16934/,Large,Financial Services,mu,Africa,"['2018 - Non - GRI Non - GRIff5ac9f5c7caa441cd1d3f85cb056e15.pdf', '2017 - Non - GRI Non - GRI87f41fe4643e9880b7ba66713ee9deb9.pdf', '2016 - Non - GRI Non - GRI33892f1a9b1c3d5545ab4e09b01caa91.pdf', '2015 - Non - GRI Non - GRId1412871a378744a657ccf5c6698ef78.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2018/ff5ac9f5c7caa441cd1d3f85cb056e15.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/87f41fe4643e9880b7ba66713ee9deb9.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/33892f1a9b1c3d5545ab4e09b01caa91.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2015/d1412871a378744a657ccf5c6698ef78.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
172,City Lodge Hotels,https://database.globalreporting.org/organizations/4620/,Large,Tourism/Leisure,za,Africa,"['2019 - Non - GRI Non - GRI8872bc5be7ff21e0393aa6bfc0253d8c.pdf', '2018 - Non - GRI Non - GRIf9ae88d1d5335c5899e9865285fa399d.pdf', '2017 - Citing - GRI Citing - GRI151be82706f484edd5997cd9547d8e76.pdf', '2016 - Citing - GRI Citing - GRI7ec521f6c67f9622e6417ee64d78c38e.pdf', '2015 - Citing - GRI Citing - GRI56c1740212826baa162277a26c7f1d99.pdf', '2014 - Citing - GRI Citing - GRI006eac91b643cf5740f1cb19daefef6d.pdf', '2013 - Citing - GRI Citing - GRIbd8db2c2454c48ffc494bde5677854d9.pdf', '2011 - Non - GRI Non - GRId440a789aec321a3c236142879463340.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2019/8872bc5be7ff21e0393aa6bfc0253d8c.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2018/f9ae88d1d5335c5899e9865285fa399d.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/151be82706f484edd5997cd9547d8e76.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/7ec521f6c67f9622e6417ee64d78c38e.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2015/56c1740212826baa162277a26c7f1d99.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2014/006eac91b643cf5740f1cb19daefef6d.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2013/bd8db2c2454c48ffc494bde5677854d9.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2011/d440a789aec321a3c236142879463340.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
173,Clicks,https://database.globalreporting.org/organizations/2248/,Large,Retailers,za,Africa,"['2019 - Non - GRI Non - GRI42d2d2d4737e934f8ec16b56f6b35820.pdf', '2018 - Non - GRI Non - GRIbc165b7ed7f5b7a41c95ae0d6bb7e192.pdf', '2017 - Non - GRI Non - GRI1798c23684b32fe4c4ab43a0dcf086fe.pdf', '2016 - Non - GRI Non - GRI73380ec33cff3e5057db438ffd9dc1b7.pdf', '2015 - Non - GRI Non - GRIafd77c698a18cd0d6640d1ce88cb5b5b.pdf', '2014 - Non - GRI Non - GRI447e38bbeed2d7b94c61b4cd4ec74a11.pdf', '2013 - Non - GRI Non - GRI5eacef329e4dc7d6f707ba7878efd013.pdf', '2012 - Non - GRI Non - GRI215fe4a7156fd3dd8abb0ef8f89ba18b.pdf', '2011 - GRI - G3 GRI - G38258d9e2be36b1a0f0d31130ddb84936.pdf', '2010 - GRI - G3 GRI - G3844700dd91055c6e741a688a66651fd8.pdf', '2009 - GRI - G3 GRI - G3374cc4de37c99621368439834e64636c.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2019/42d2d2d4737e934f8ec16b56f6b35820.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2018/bc165b7ed7f5b7a41c95ae0d6bb7e192.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/1798c23684b32fe4c4ab43a0dcf086fe.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/73380ec33cff3e5057db438ffd9dc1b7.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2015/afd77c698a18cd0d6640d1ce88cb5b5b.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2014/447e38bbeed2d7b94c61b4cd4ec74a11.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2013/5eacef329e4dc7d6f707ba7878efd013.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2012/215fe4a7156fd3dd8abb0ef8f89ba18b.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2011/8258d9e2be36b1a0f0d31130ddb84936.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2010/844700dd91055c6e741a688a66651fd8.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2009/374cc4de37c99621368439834e64636c.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
174,Clientele life assurance,https://database.globalreporting.org/organizations/7444/,Large,Commercial Services,za,Africa,"['2018 - Non - GRI Non - GRIdb6922f63d6931c41ad6ff796a2bb700.pdf', '2017 - Non - GRI Non - GRI39bfa3bfc0f2034c9e36b6b1391b13a8.pdf', '2016 - Non - GRI Non - GRI5329d535aae2a9ce82cb224314920378.pdf', '2015 - Non - GRI Non - GRIbe263bd45a2f5579bd872fded64e8412.pdf', '2014 - Non - GRI Non - GRIc45f3d9082fa80267dc778c0820ef04e.pdf', '2013 - Non - GRI Non - GRI8244bf991f9617d4e4107e6a51f18946.pdf', '2012 - Non - GRI Non - GRI0d68476049f81bae6e83edff30a5cf8c.pdf', '2011 - Non - GRI Non - GRId5f2a3e8c754b2586e1bd13b1dc0891a.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2018/db6922f63d6931c41ad6ff796a2bb700.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/39bfa3bfc0f2034c9e36b6b1391b13a8.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/5329d535aae2a9ce82cb224314920378.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2015/be263bd45a2f5579bd872fded64e8412.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2014/c45f3d9082fa80267dc778c0820ef04e.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2013/8244bf991f9617d4e4107e6a51f18946.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2012/0d68476049f81bae6e83edff30a5cf8c.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2011/d5f2a3e8c754b2586e1bd13b1dc0891a.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
175,Clover Industries,https://database.globalreporting.org/organizations/4619/,Large,Food and Beverage Products,za,Africa,"['2018 - Citing - GRI Citing - GRI5931590abcea4d72993da6e2ca02b364.pdf', '2017 - Citing - GRI Citing - GRIe5ca9c7d4f0dd8f9dcafafb64f09ddc4.pdf', '2016 - Citing - GRI Citing - GRIf480e3d235e00194e520a2d28c788329.pdf', '2015 - Non - GRI Non - GRI563adf1c3b64499bd932739bf354d06b.pdf', '2014 - Citing - GRI Citing - GRId15b863ffb69a58a93141ea97e34576f.pdf', '2013 - Non - GRI Non - GRI620bb1e70fffc1f18405ec7028a32077.pdf', '2012 - Citing - GRI Citing - GRIb940f97bc82d61b91b7bb3fa15e3ec79.pdf', '2011 - Non - GRI Non - GRI20dc7742d2d1f53d4d2fc342f4420c7e.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2018/5931590abcea4d72993da6e2ca02b364.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/e5ca9c7d4f0dd8f9dcafafb64f09ddc4.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/f480e3d235e00194e520a2d28c788329.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2015/563adf1c3b64499bd932739bf354d06b.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2014/d15b863ffb69a58a93141ea97e34576f.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2013/620bb1e70fffc1f18405ec7028a32077.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2012/b940f97bc82d61b91b7bb3fa15e3ec79.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2011/20dc7742d2d1f53d4d2fc342f4420c7e.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
176,Coca-Cola Sabco,https://database.globalreporting.org/organizations/4394/,Large,Food and Beverage Products,za,Africa,"['2016 - GRI - G4 GRI - G4464d2aa6eef243c7e41bae20384f99ce.pdf', '2015 - Non - GRI Non - GRI271b1c34e3f0e9f1bb026181122bccf0.pdf', '2014 - Non - GRI Non - GRI461145286f6ca7602bddebfb5d6f6464.pdf', '2013 - Non - GRI Non - GRIa3ba31d9194eaf391505d55b6ed0b79a.pdf', '2010 - Non - GRI Non - GRI8949df7ed472302545a058efb25810d9.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/464d2aa6eef243c7e41bae20384f99ce.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2015/271b1c34e3f0e9f1bb026181122bccf0.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2014/461145286f6ca7602bddebfb5d6f6464.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2013/a3ba31d9194eaf391505d55b6ed0b79a.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2010/8949df7ed472302545a058efb25810d9.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
177,CODiNEX Computers Limited,https://database.globalreporting.org/organizations/22249/,SME,Computers,ug,Africa,[],[]
178,Cognition Holdings Limited (formerly Foneworx Holdings Ltd),https://database.globalreporting.org/organizations/6484/,Large,Telecommunications,za,Africa,"['2019 - Citing - GRI Citing - GRI66e8af8f88337cfc6100793290fbe5a5.pdf', '2018 - Non - GRI Non - GRI316d43b8566f922c4c9a0c4976b7483a.pdf', '2017 - Citing - GRI Citing - GRI553e9e4fda992185f9929787cb5f3d3d.pdf', '2016 - Citing - GRI Citing - GRI1eccaaad3a2268df664e56d15de9d7f6.pdf', '2015 - Citing - GRI Citing - GRI917c8185a40a9b4970d60ceb49b8548f.pdf', '2014 - Citing - GRI Citing - GRI4a6f401ed31be3c1a1a374d348e5bd81.pdf', '2013 - Citing - GRI Citing - GRI896c333eb70184ddd4c151a172d52147.pdf', '2012 - Citing - GRI Citing - GRI07e7bfca82dbf5909934f4ce5047eed4.pdf', '2011 - Citing - GRI Citing - GRIaa5d06a92eccae6180d3e889b711023d.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2019/66e8af8f88337cfc6100793290fbe5a5.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2018/316d43b8566f922c4c9a0c4976b7483a.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/553e9e4fda992185f9929787cb5f3d3d.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/1eccaaad3a2268df664e56d15de9d7f6.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2015/917c8185a40a9b4970d60ceb49b8548f.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2014/4a6f401ed31be3c1a1a374d348e5bd81.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2013/896c333eb70184ddd4c151a172d52147.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2012/07e7bfca82dbf5909934f4ce5047eed4.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2011/aa5d06a92eccae6180d3e889b711023d.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
179,Colcom Holdings Limited,https://database.globalreporting.org/organizations/17123/,Large,Food and Beverage Products,zw,Africa,"['2017 - Non - GRI Non - GRIebdcc06a27f6b43b23b2e464772134d0.pdf', '2016 - Non - GRI Non - GRIe079265d74470585f9ced0aa9378229c.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/ebdcc06a27f6b43b23b2e464772134d0.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/e079265d74470585f9ced0aa9378229c.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
180,Colliers International,https://database.globalreporting.org/organizations/4779/,MNE,Real Estate,za,Africa,[],[]
181,Comair,https://database.globalreporting.org/organizations/6690/,Large,Aviation,za,Africa,"['2019 - Citing - GRI Citing - GRI86362fab733be4d6363fbb20da90d0c1.pdf', '2018 - Citing - GRI Citing - GRI793ed8019d4cc0f5e7309afd34105a7e.pdf', '2017 - Citing - GRI Citing - GRI98c5802630f3341147c7d412cd3a12b4.pdf', '2016 - Citing - GRI Citing - GRI6505035c079f75b72f3b83d6ead140f8.pdf', '2015 - Citing - GRI Citing - GRI5e305be4f22c7266c80753338b119bc5.pdf', '2014 - Citing - GRI Citing - GRI0393b4169682190483e2ec5ab2c4efc9.pdf', '2013 - GRI - G3.1 GRI - G3.1866c3efbbd5232c517b29ce826cd851e.pdf', '2012 - GRI - G3.1 GRI - G3.1c1b590d37e35d9ef7f8e19f81d325904.pdf', '2011 - GRI - G3.1 GRI - G3.16ec18ffd44cfed0da8c177a98279cb00.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2019/86362fab733be4d6363fbb20da90d0c1.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2018/793ed8019d4cc0f5e7309afd34105a7e.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/98c5802630f3341147c7d412cd3a12b4.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/6505035c079f75b72f3b83d6ead140f8.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2015/5e305be4f22c7266c80753338b119bc5.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2014/0393b4169682190483e2ec5ab2c4efc9.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2013/866c3efbbd5232c517b29ce826cd851e.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2012/c1b590d37e35d9ef7f8e19f81d325904.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2011/6ec18ffd44cfed0da8c177a98279cb00.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
