,file name,page number,text
10,NPI Governance Consulting.pdf,1,"(#27) 011 259 4018 @ info@npiconsulting.co.za_ BES www.npiconsulting.co.za e Unit Q5, 1Q Business Park, 3 Third Avenue Rivonia, JHB, GOVERNANCE Gauteng Province, 2128 Republic of South Africa CONSULTING BEE Level 1 | 100% Biack Owned | 55% Black Woman Owned &@ ssOOMIATIE 180 9001:2008 Accredited Monday, July 2, 2018 H.E. Antonio Guterres Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary-General, | am pleased to confirm that NPI Governance Consulting (Pty) Ltd supports the Ten Principles of the United Nations Global Compact on human rights, labour, environment and anti-corruption. With this communication, we express our intent to implement those principles. We are committed to making the UN Global Compact and its principles part of the strategy, culture and day-to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Sustainable Development Goals. NPI Governance Consulting will make a clear statement of this commitment to our stakeholders and the general public. We recognize that a key requirement for participation in the UN Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts to implement the Ten Principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the UN Global Compact, and annually thereafter according to the UN Global Compact COP policy. This includes: statement signed by the chief executive expressing continued support for the UN Global Compact and renewing our ongoing commitment to the initiative and its principles. This is separate from our initial letter of commitment to join the UN Global Compact. e A description of practical actions (i.e., disclosure of any relevant policies, procedures, activities) that the company has taken (or plans to undertake) to implement the UN Global Compact principles in each of the four issue areas (human rights, labour, environment, anti-corruption). : Ameasurement of outcomes (i.e., the degree to which targets/performance indicators were met, or other qualitative or quantitative measurements of results). Sincerely yours, e Mr Israel L. NOKO, Chief Executive Officer Email: israe}@npiconsulting.co.za Beeeke ) Chief Executive Officer: Israel L. Noko penuae BMTRADA Non-Executive Chairperson: Cheryl Carolus oe Sew Non-Executive Directors: Derek J Hall | Cornelis Verburg | Happy Ntshingila pagega Registration Number: 2012/025960/07 BeRBEs | i : | | c'"
11,Calgro M3 Land.pdf,1," 18 April 2013 Secretary-General United Nations New York, NY 10017 USA Attn: Secretary-General, Mr H.E. Ban Ki-moon Re: UN Global Compact | am pleased to confirm that Calgro M3 Land supports the ten principles of the Global Compact with respect to human rights, labour, environment and anti-corruption. With this communication, we express our intent to advance those principles within our sphere of influence. We are committed to making the Global Compact and its principles part of the strategy, culture and day-to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Millennium Development Goals. Calgro M3 Land will make a clear statement of this commitment to our stakeholders and the general public. We recognize that a key requirement for participation in the Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts to implement the ten principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the Global Compact, and annually thereafter according to the Global Compact COP policy. Sincerely yours, VS Mr BP Malherbe Chief Executive Officer Calgro M3 Group Private Bag X33 Craighall 2024 Tel: 0861 CALGRO (225476) Fax: 086 509 6133 Calgro M3 Holdings Limited Registration number: 2005/027663/06 33 Ballyclare Drive, Ballywoods Office Park, Cedarwood House, Bryanston, Sandton Ast floor, Zeezicht Building, Tygerberg Park, 163 Uys Krige Street, Plattekloof, Cape Town Directors: SS ~CS PE Radebe (Chairperson)"", BP Malherbe (Chief Executive Officer), FJ Steyn, H Ntene"", WJ Lategan (Financial Director), DN Steyn, JB Gibbon""*, RB Patmore**~, Or ME Gama""* cNon-executive * Independent ~ Lead Independent c'"
12,FynBloem (Pty) Ltd.pdf,1,"FYNBLSEM No, 2009/015678/07 (Pty) Ltd 6 October 2014 H.E. Ban Ki-Moon Secretary-General United Nations New York, NY 10017 USA Dear Mr Secretary-General, lam pleased to confirm that FynBloem (Pty) Ltd supports the ten principles of the Global Compact on human rights, labour, environment and anti-corruption. FynBloem started implementing the principles a number of years ago and have made them part of our strategy, culture and day-to-day operations. We communicate our commitment to our customers, suppliers and stakeholders in our annual Sustainability Report. We support public accountability and transparency and commit to produce an annual Communication on Progress (COP), which will include: e Astatement signed by the chief executive expressing continued support for the Global Compact and renewing our ongoing commitment to the initiative and its principles. This is separate from this initial letter of commitment. description of practical actions that the company has taken or plans to undertake, to implement the Global compact principles in each of the four issue areas (human rights, labour, environment, anti-corruption). e Ameasurement of outcomes (the degree to which targets/performance indicators were met, or other qualitative or quantitative measurements of results). We are committed to engage in collaborative projects to advance the broader development goals of the United Nations, particularly the Millennium Development Goals. Yours sincerely, CHIEF EXECUTIVE OFFICER PO Box 18, Riviersonderend 7250 Western Cape, South Africa Tel: +27 (0) 28 2611 823/ +27 (0)21 2000 561 Fax: +27 (0) 86 650 2495 E-mail: admin@blk.co.za Directors: PB Beyers / LM Larsen c'"
13,Cricket South Africa NPC.pdf,3,"b""La Wa Cricket South Africa (NPC) Wanderers Club 21 North Street, Illovo 2196 CRICKET PO Box 55009, Northlands 2116 SOUTHTAPRICA Tel: +27 (0)11 880 2810 Fax: +27 (0)11 880 6578 Website: www.cricket.co.za 17 February 2014 H.E. Ban Ki-moon Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary-General, | am pleased to confirm that Cricket South Africa (NPC) supports the ten principles of the Global Compact on human rights, labour, environment and anti-corruption. With this commitment, we express our intent to advance these principles within our spheres of influence, and will make a clear statement of this commitment to our stakeholders and the general public. We also pledge to participate in and engage with the UN Global Compact, inter alia: the OECD recommendations regarding corruption, progress under the Employment Equity Act, No 55 of 1998 and standing in terms of the Broad-Based Black Economic Empowerment Act, No 53 of 2003. We recognize that a key requirement for participation in the Global Compact is the biannual submission of a Communication on Engagement (COE) that describes our organization s efforts to support the implementation of the ten principles and to engage with the Global Compact. We support public accountability and transparency, and attach hereto a copy of Cricket South Africa s Integrated Report. Furthermore, we commit to report on progress within two years of joining the Global Compact and every two years thereafter according to the Global Compact COE policy. Sincerely yours, \\ Mr. Haroon Lorg Chief Executive Directors: Mr. Chris Nenzani (Chairman), Mr Norman Arendse SC , Dr. Peter Cyster, Mr. Fa-eez Jaffar, Mr. Iqbal Khan*, Ms. Dawn Mokhobo*,Mr. Andrew O'Connor, Mr. Vusumzi Pikoli*, Mr. Rihan Richards, Mr. Beresford Williams, Mr. Louis von Zeuner* (* denotes Independent) Chief Executive: Mr Haroon Lorgat Cricket South Africa (Non-Profit Company) Company Registration: 2002/002641/08 cUnited Nations Global Compact Online Application Guideline - Non-Business Organizations - To participate in the Global Compact, a non-business organization: Prepares a Letter of Commitment (Fig. 1 below) signed by the Chief Executive Officer to the Secretary-General of the United Nations expressing commitment to e the Global Compact and its ten principles; and * participation in the activities of the initiative where feasible. Requirements of the Le yf Commitment for non-business organizations 1) The letter contains an official company letterhead; 2) The letter is addressed to the UN Secretary-General; 3-4) The Statement includes the organization's support for the ten principles of the Global Compact and to take part in the activities of the initiative; 5) The letter is signed by company s highest executive or equivalent (name and title must be legibly printed underneath the signature), 6) The letter (one-page statement) is scanned and available for upload before completing the Online Registration Form. Completes the Online Application Form (Fig. 2a-2b below) and uploads a digital copy of the Letter of Commitment signed by the highest executive; To complete online icati ou will need: e To ensure that your Letter of Commitment fulfill the requirements stated above. e The name of the company's chief executive who signed the Letter of Commitment must correspond with the entry in the online registration form. cFig. 2a. Online Application Form for Non-Business Organizations (part 1 of 2) Pe ae eee LUST To] Nero] Colo} el CfolaaTe]=[ohg CE AboutUs Howto Participate Communicating Progress Participants & Stakenolders | LocalNetworks Issues News &Events Login HOW TO PARTICIPATE eer) joiass Parhupation Non-Business Organization Registration show Please ensue ator Later Conentmanas bem sgned yur oneizons cet eazute tov seamed rapa bre carn i rm About our ogenzaon a ome oerpitaon . Academic ~ . te | Business Aseodaton Locl eater Business Association Global Type of organization, city Sector CSR Organization a Foundation C_ Number of employees i - Labour Local com Labour Global ~ NGO Local _ a NGO Global a Contact jnf rmation Public Sector Organization ~~ Contact role Protx. MS) | Number of direct full time | employees Firstname 4 twoaie Name | LastName ob Tite emat Teleonone fat Postaladness (LLL re ty , Statepromnce [ Potalcoee [ OOOOSOC~CSSSS County, Continue + ) PRT rani, Sign up forthe UN Global Compact Bulletin G tues, Pariipant Engapement Opposunies Resources Event anes Hatons | Privacy Bale gn Contact c"""
14,The University of Cape Town.pdf,1,"UNIVERSITY OF CAPE TOWN iYunivesithi YaseKapa et of Cope * c, ? oe Universiteit van Kaapstad $ 3 z Dr Max Price: Vice-Chancellor z & % 2 Private Bag X3, Rondebosch, 7701, South Africa %, Pod Room 101, Bremner Building, Lower Campus, Lovers Walk, Rondebosch, Cape Town, 7700 Tel: +27 (0) 21 650-2105/6 Fax: +27 (0) 21 650-5100 E-mail: ve@uct.ac.za_ Website: www.uct.ac.ca 14 February 2018 Attention: The Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary-General Re: Non-Business Commitment Letter to sign up to the UN Global Compact agreement | am pleased to confirm that the University of Cape Town supports the ten principles of the United Nations Global Compact on human rights, labour, environment and anti-corruption. With this communication, we express our intent to support the Global Compact advancing these principles and will make a clear statement of this commitment to our stakeholders and the general public. We also pledge to participate in and engage with the UN Global Compact in the following way(s): e Conduct applied research and thought leadership to advance best practices. Promote the UN Global Compact Ten Principles and educate a variety of audiences about sustainability. We recognise that a key requirement for participation in the Global Compact is the submission of a communication on engagement that describes our organisation s efforts to support the implementation of the ten principles and to engage with the Global Compact. We support public accountability and transparency and therefore commit to report on progress within two years of joining the Global Compact and every two years thereafter according to the Global Compact communication on engagement policy. Sincerely yours, ~~ a Dr Max Price Vice-Chancellor G:iab\ \ General UN 14.02.2018 cOut Mission is to be ari outstanding teaching and research university, educating for life and addressing the challenges facing out society. d c'"
15,JLS Clothing.pdf,1,"5/15/2018 UNGC_Letter_of_Commitment.jpg (2550x3506) April 20 2018 H.E. Antonio Guterres Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary-General, | am pleased to confirm that JLS Corporate Clothing supports the Ten Principles of the United Nations Global Compact on human rights, labour, environment and anti-corruption. With this communication, we express our intent to implement those principles. We are committed to making the UN Global Compact and its principles part of the strategy, culture and day-to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Sustainable Development Goals. JLS will make a clear statement of this commitment to our stakeholders and the general public. We recognize that a key requirement for participation in the UN Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts to implement the Ten Principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the UN Global Compact, and annually thereafter according to the UN Global Compact COP policy. This includes * A statement signed by the chief executive expressing continued support for the UN Global Compact and renewing our ongoing commitment to the initiative and its principles. This is separate from our initial letter of commitment to join the UN Global Compact. * A description of practical actions (i.e., disclosure of any relevant policies, procedures, activities) that the company has taken (or plans to undertake) to implement the UN Global Compact principles in each of the four issue areas (human rights, labour, environment, anti-corruption) A measurement of outcomes (i.e., the degree to which targets/performance indicators were met, or other qualitative, eames measurements of results). Al if Sincerely yours, SHELAGH RHODES DIRECTOR JLS CLOTHING | 39/41 Churchill Road, Durban 4001 Telephone (031) 3033966 Fax 086 694 5604 Email jls@jlsclothing.co.za https://www.unglobalcompact.org/system/commitment_letters/132544/original/ UNGC_Letter_of_Commitment.jpg?1526377395 Ww c'"
16,City of Cape Town.pdf,1,"b""CITY OF CAPE TOWN OFFICE OF THE EXECUTIVE MAYOR ISIXEKO SASEKAPA STAD KAAPSTAD FRITZ MARX MANAGER: EXTERNAL RELATIONS AND PROTOCOL T: +27 21400 1217 F: +27 21 400 1313 M: +27 84 4101 332 E: fritz. marx@capetown.gov.za 27 March 2014 HIS Excellency Mr E. Ban Ki-moon Secretary-General of the United Nations New York, NY 10017 USA Your Excellency UN GLOBAL COMPACT |am pleased to confirm that the City of Cape Town supports the ten principles of the UN Global Compact with respect to human rights, labour, environment, and anti- corruption. With this commitment, we express our intent to advance these principles within our sphere of influence, and will make a clear statement of this commitment to our stakeholders and the general public. We also pledge to take part in the activities of the UN Global Compact where appropriate and feasible - through, for instance, participation in Country/Local Networks; involvement in specialised initiatives and work streams; and engagement in partnership projects, projects; and reviewing and providing commentary to participating companies on their Communications on Progress. We recognise that a key requirement for participation in the Global Compact is the submission of a Communication on Engagement (COE) that describes our organisation's efforts to support the implementation of the ten principles and to engage with the Global Compact. We support public accountability and transparency, and therefore commit to report on progress within two years of joining the Global Compact and every two years thereafter according to the Global Compact COE policy. Yours faithfully ) cle Le PATRICIA DE LILLE EXECUTIVE MAYOR CIVIC CENTRE 1ZIKO LOLUNTU BURGERSENTRUM 12 HERTZOG BOULEVARD CAPE TOWN 8001 PRIVATE BAG X9181 CAPE TOWN 8000 www.capetown.gov.za Making progress possible. Together. c"""
17,HRTorQue Outsourcing (Pty) Ltd.pdf,1,", HRTorQue cDs Outsourcing (Pty) Ltd 21 January 2019 H.E. Ant nio Guterres Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary-General, Commitment Letter - UN Global Compact lam pleased to confirm that HRTorQue Outsourcing (Pty) Ltd supports the Ten Principles of the United Nations Global Compact on human rights, labour, environment and anti-corruption. With this communication, we express our intent to implement those principles. We are committed to making the UN Global Compact and its principles part of the strategy, culture and day-to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Sustainable Development Goals. HRTorQue Outsourcing (Pty) Ltd will make a clear statement of this commitment to our stakeholders and the general public. We recognize that a key requirement for participation in the UN Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts to implement the Ten Principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the UN Global Compact, and annually thereafter according to the UN Global Compact COP policy. This includes: e Astatement signed by the chief executive expressing continued support for the UN Global Compact and renewing our ongoing commitment to the initiative and its principles. This is separate from our initial letter of commitment to join the UN Global Compact. e Adescription of practical actions (i.e., disclosure of any relevant policies, procedures, activities) that the company has taken (or plans to undertake) to implement the UN Global Compact principles in each of the four issue areas (human rights, labour, environment, anti-corruption). e Ameasurement of outcomes (i.e., the degree to which targets/performance indicators were met, or other qualitative or quantitative measurements ofresults). Sincerely yours, Mr. Jonathan G Aitken Director Directors: J. Aitken, K. van den Bergh + Registration No.: 1998 / 009830 / 07 Phone: 031 564 1155 + Fax: 031 564 1228 + www.hrtorque.co.za + info@hrtorque.co.za Physical: 163 Umhlanga Rocks Drive, Durban North, 4071 + Postal: PO Box 40743, Redhill, 4071 c'"
18,TruTeq Wireless (Pty) LTD.pdf,1,"TRUTES WIRELESS (PTY) LTD Reg 2001/021310/07 3 +27 (0)12 667 1530 +27 (0)12 667 1531 www.truteg.com info@truteg.com eh PO Box 12220, CENTURION, 0046, South Africa Wednesday, 04 February 2009 NMP o H.E. Ban Ki-moon Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary-General, TruTeq Wireless (Pty) LTD is passionate about the rebirth of Africa. We all need to subscribe to the resurrection of the economies and peaceful cultures of all its inhabitants. This can only be achieved if its peoples: 1) Nurture a can-do attitude 2) Africans start looking inwards for its solutions 3) Corruption is fought with vigour everywhere and at every level We believe the UN Global Compact offers us the opportunity to raise awareness in our dealings within our beloved continent. We are proof that it is possible to do business and thrive without compromising our principles. The UN Global Compact fully summarises our principles. | am therefore pleased to confirm that TruTeq Wireless (Pty) LTD supports the ten principles of the Global Compact with respect to human rights, labour, environment and anti-corruption. With this communication, we express our intent to advance those principles within our sphere of influence. We are committed to making the Global Compact and its principles part of the strategy, culture and day-to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Millennium Development Goals. TruTeq Wireless (Pty) LTD will make a clear statement of this commitment to our stakeholders and the general public. We recognize that a key requirement for participation in the Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts to implement the ten principles. We support public accountability and transparency, and therefore commit to report on progress within two years of joining the Global Compact, and every year thereafter according to the Global Compact COP policy. Sincerely yours, Tjaart van der Walt Managing Director / CEO Page 1 of 1 Directors : T. van der Walt (Managing), J.P. van Wyk, C.J.C van Aardt, G.J.J van der Merwe. c'"
19,Imperial Logistics Ltd.pdf,1,"Imperial beyond possibility 27 July 2020 I.E. Antonio Guterres Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary-General, lam pleased to confirm that Imperial Logistics Limited ( Imperial ) supports the Ten Principles of the United Nations Global Compact on human rights, labour, environment and anti-corruption. With this communication, we would like to advise that Imperial has and will continue to conform to these principles. We are committed to continue to integrate the UN Global Compact principles into our strategy, culture and day-to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Sustainable Development Goals. Imperial will publish a statement of this commitment to our stakeholders and the general public on an annual basis. We recognise that a key requirement for participation in the UN Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts to implement the Ten Principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the UN Global Compact, and annually thereafter according to the UN Global Compact COP policy. Group Chief Executive Officer Imperial Logistics Limited Executive directors: M Akoojee (CEQ), JG de Beer Non-Executive Directors: P Langen! (Chairman), P Cooper, GW Dempster, NB Radebe, Reich* RJA Sparks Company Secretary: RA Venter cSwiss, Imperial Logistics Place, 79 Boeing Road East, Bedfordview, 2008 | PO Box 3013, Edenvale, 1610 T +27 21 372 6500 | www.imperiallogistics.cam Reg No: 1946/022048/05 c'"
20,Transnet SOC Ltd..pdf,1,"TRANSNEr Brian Molefe, Group Chief Executive Our Ref No: BM/16008 Secretary-General United Nations NEW YORK NY 10017 United States of America Dear Mr Secretary-General SIGNING OF UNITED NATIONS GLOBAL COMPACT I am pleased to confirm that Transnet SOC Limited ( cTransnet d) supports the ten principles of the Global Compact with respect to human rights, labour, environment and _anti- corruption. With this communication, we express our intent to advance these principles within our spheres of influence. We are committed to making the Global Compact and its principles, part of the strategy, culture and day-to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Millenium Development Goals. Transnet recognises that a key requirement for participation in the Global Compact is the annual submission of a Communication on Progress ( cCOP d) that describes our company s efforts to implement the ten principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the Global Compact, and annually thereafter according to the Global Compact COP policy. We look forward to supporting the United Nations in its Global Compact endeavours. Kind regards Brian Molefe Group Chief executive Date: e-7./2 - Transnet SOC Ltd Carlton Centre P.O. Box 72501 Registration Number 150 Commissioner Parkview, Johannesburg 1990/000900/30 Street South Africa, 2122 Johannesburg T +27 11 308 3001 2001 F +27 11 308 2638 Directors: ME Mkwanazi (Chairman) 8 Molefe* (Group Chief Executive) NK Choubey* MA Fanucchi Y Forbes HD Gazendam NBP Gcaba MP Malungani BD Mkhwanazi TMnyaka N,Moola MP Moyo NR Ntshingila IM Sharma 18 Skosana E Tshabalala DLJ Tshepe A Singh d (Acting Chief Financial Officer) cExecutive ""Indian Group Company Secretary: ANC Ceba www.transnet.net c'"
21,Play Africa Group.pdf,1,"b"" PLAY AFRICA Inspiring children. Strengthening families. Transforming communities. 21 April 2015 H.E. Ban Ki-Moon Secretary General United Nations New York, NY 10017 USA Dear Mr. Secretary General, | am pleased to confirm that PLAY AFRICA GROUP supports the ten principles of the UN Global Compact with respect to human rights, labour, environment, and anti-corruption. With this commitment, we express our intent to support the global principles, and will make a clear statement of this commitment to our stakeholders and the general public. We also pledge to participate in and engage with the UN Global Compact in the following ways: Engage with Global Compact Local Networks; Join and/or propose partnership projects on corporate sustainability; Engage companies in Global Compact-related issues; Join and/or support special initiatives and work streams; Provide communications on progress; and Sa PWNS Participate in Global Compact global and local events. We recognize that a key requirement for participation in the Global Compact is the submission of a Communication of Engagement (COE) that describes our organization's efforts to support the ten principles and to engage with the Global Compact. We support public accountability and transparency and therefore commit to report on progress within two years of joining the Global Compact and every two years thereafter, according to the Global Compact COE policy Sincerely yours, Gfgtchen Wilson Prangley Founder and CEO, Play Africa Group Play Africa Group and Play Africa Children s Museum Planning Office Metropolitan Bullding B, 1st Floor, 8 Hillside Road, Parktown 2193, Johannesburg, South Africa | Tel: +27 (0) 11 480 4892 | Email: info@playaftica.org.za | playafrica.org.za Directors: G Wilson Prangley (CEO, Founder), Tyeku, P Byars, R Moosajee, M D Odayan, T Levin, T Sonile, Y Nijhon Play Africa Group is a registered South African non-profit company (NPC#2014/101533/08), and a registered public benefit organisation (PBO#930048005) with Section 18A tax-exempt status. c"""
22,Distell Limited.pdf,1,"b"" MEAD OFFICE /HOOMKANTOOR: AAN-DE-WAGENWEG, PO BOX / POSBUS 184, STELLENBOSCII 7599, REPUBLIC OF SOUTH Armica 7 (O)Z1 HOD 7000 - FAX / PAKS #27 (0) 21 886 4611 - yaw distell.co.7a 13 May 2013 E Ban Ki-moon Secretary-General United Nations New York, NY 10017 USA Dear Mr Secretary-General, DISTELL SUPPORT FOR THE TEN PRINCIPLES OF THE UN GLOBAL COMPACT Tam pleased to confirm that Distell Group Limited supports the ten principles of the Global Compact in respect of human rights, labour, environment and anti-corruption, With this communication, we express our intent to advance those principles within our sphere of influence. We are committed to making the Global Compact and its principles part of the strategy, culture and day- to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Millennium Development Goals. Distell Group Limited will make a clear statement of this commitment to our stakeholders and the general public. We recognize that a key requirement for participation in the Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts to implement the ten principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the Global Compact, and annually thereafter according to the Global Compact COP policy. We will report by means of our Annual Sustainability Report. Yours sincere) Jan cVeannel GROUP MANAGING DIRECTOR HOLDING COMPANY / BEHERENDE MAATSKAPPY DISTELL GROUP LTD./DISTELL GROEP BPK, Dicectors/Direkreure: DM Nurck (Charemaa/ Voorsitter), JJ Seannell (Managing Direc Direkreus) KE Bayly, PE Bi Parker, CH Sevillano-Barreda, BJ Van der Ross, MJ Botha, JG Cacnus, GP Dingaan, JJ Durand, 2 de la Hl Herts MJ Madungandaba, LAL Moye! LO Verwey, Company Secrerary/Maatskappysekretaria: CJ Crone Company Regisvaion He s Maatskapey Resiiasie Ni 1988/00S808/06 OPERATING COMPANY/BEDRYFSMAATSKAPPY DISTELL LIMITED / DISTELL BEPERK Dircerors/Dirckteure: JJ Scannell (Managing Director/Besturende Direkteur), MJ Botha, W Bubrmana, PF Carolia, VC de Vees. DJ Gallow, Gous DM Heglan: SW Klopper, MG Lambrechrs, N'f Moodley, I< Pillay, MR Searle, CLC Snymaa, J] Veorer, Company Seeserary /Maatskappysckretatis: C) Crane Company Regisaton No / Moatskappy Registre Ne 196400190506 c"""
23,Royal Bafokeng Platinum Limited.pdf,1,"ROYAL BAFOKEN @D Prarin MORE THA int H. E. Ban Ki-moon Secretary - General United Nations New York, NY 10017 USA 22 May 2012 Dear Mr Secretary-General | am pleased to confirm that Royal Bafokeng Platinum Limited ( RBPlat"") supports the ten principles of the Global Compact with respect fo human rights, labour, environment and anti-corruption. RBPlat is a community-owned, mid-tier and listed Platinum producer located in Johannesburg, with its operations in Rustenburg, North West Province of South Africa. Our vision as a mining company is to seek and deliver the good from mining : we are guided in achieving this vision by our sustainability objectives and mission of leaving a lasting legacy through stakeholder beneficiation. With this communication, we express our intent to advance those principles within our sphere of influence. We are committed to making the Global Compact and its principles part of the strategy, culture and day-to-day operations of our Company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Millennium Development Goals. RBPlat will make a clear statement of this commitment to our stakeholder and the greater public. We recognize that a key requirement for participation in the Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts to implement the ten principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the Global Compact, and annually thereafter according to the Global Compact COP policy. Sincerely Yours, Mr. Steve Phiri CEO: Royal Bafokeng Platinum Limited ROYAL BAFOKENG PLATINUM LTD. REG, NO, 2008/015696/06 TEL +27 (0) 10 590 4510 FAX +27 (0) 10 590 1075,THE PIVOT, No. 1 MONTE CASINO BOULEVARD BLOCK C, FLOOR 4, FOURWAYS, 2021. P 0 BOX 2283, FOURWAYS, 2055, JOHANNESBURG, SOUTH AFRICA, WWW.BAFOKENGPLATINUM.CO.ZA DIRECTORS: KD MOROKA (CHAIRPERSON) , SD PHIRI (CEO), MMJL PRINSLOO, NJ MULLER, DC NOKO , L DE BEER , FW PETERSEN"", MH ROGERS*, RG MILLS"", MJ VUSO""*, LC JOOSTE (COMPANY SECRETARY). *NON-EXECUTIVE, **INDEPENDENT c'"
24,Endangered Wildlife Trust.pdf,1," ENDANGERED WILDLIFE TRUST H.E Ban Ki-Moon Secretary-General United Nations New York, NY, 10017 USA 11 April 2011 Dear Mr Secretary-General | am pleased to confirm that the Endangered Wildlife Trust (EWT), a registered non-profit conservation organisation based in South Africa, supports the ten principles of the UN Global Compact with respect to human rights, labour, the environment and anti-corruption. With this commitment, we express our intent to advance these principles within our sphere of influence and will make a clear statement of this commitment to our stakeholders and the general public. We also pledge to take part in the activities of the UN Global Compact where appropriate and feasible d through, for instance, participation in Country/Local Networks; involvement in specialised initiatives and workstreams, engagement in partnership projects; and reviewing and providing commentary to participating companies on their Communications on Progress. Sincerely yours Ms. Yolan Friedmann Chief Executive Officer Endangered Wildlife Trust Tel: +27 (0) 11486 1102, Fax: +27 (0) 11 486 1506, E-mail: ewt@ewt.org.za, Web: www.ewl.org.za, Physical Address: The Goldfields Environmental Centre Johannesburg Zoological Gardens, Eriswold Way, Saxonwold, Johannesburg, 2196, Postal Address: Private bag X 11, Parkview, 2122, Johannesburg, South Africa. The Endangered Wildlife Trust is a non-government, not-for-profit organisation dedicated to conserving threatened species & ecosystems to the benefit of the people of South Africa. Member of |UCN, The Union for Conservation of Nature, NPO Number: 015-507, PBO no: 930 003 777. The Endangered Wildlife Trust is 501(c) 3 compliant. US IRS Registration number: EMP98-0586801 c'"
25,Buddies4Ever.pdf,1,"b"" E Broo 04 May 2017 H.E. Antonio Guterres Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary General, 18 Meyer Street, Sophiatown, JHB y eS www.Buddies4Ever.co.za Admin@Buddies4Ever.co.za eo0 063 197 8058 | am pleased to confirm that [name of the organization] supports the ten principles of the UN Global Compact with respect to human rights, labor, environment and anti-corruption. With this commitment, we express our intent to support the Global Compact advancing these principles, and will make a clear statement of this commitment to our stakeholders and the general public. We also pledge to participate in and engage with the UN Global Compact in the following way(s): [please insert description of the ways in which your organization wishes to engage and participate; please refer to https://www.unglobalcompact.org/participation/join/who-should-join/non-business for suggested engagement options according to your organization type]. We recognize that a key requirement for participation in the Global Compact is the submission of a Communication on Engagement (COE) that describes our organization's efforts to support the implementation of the ten principles and to engage with the Global Compact. We support public accountability and transparency, and therefore commit to report on progress within two years of joining the Global Compact and every two years thereafter according to the Global Compact COE policy. Sincerely yours, Luwayn Jody Cader Vice President/Executive Director www.Buddies4Ever.co.za c"""
